HS코드,기간,수출중량,수출금액,수입중량,수입금액,무역수지
8515211010,2023.02,                   4.4,                 265,                   2.6,                  76,                 189
8515212010,2023.02,                   0.0,                   0,                  14.1,                 783,                -783
8515219010,2023.02,                   0.0,                   0,                   0.3,                  21,                 -21
8515311010,2023.02,                   3.6,                 187,                   6.1,                 318,                -131
8515319010,2023.02,                   0.0,                   0,                   0.7,                  49,                 -49
8424202010,2023.03,                   0.0,                   2,                   4.7,                 261,                -259
8427103000,2023.03,                   5.8,                 175,                  11.8,                 616,                -442
8428701000,2023.03,                   0.0,                   0,                  22.3,                 414,                -414
8428702000,2023.03,                  23.3,"               1,353",                  10.0,                 710,                 643
8428709000,2023.03,                  10.7,                 777,                  32.0,"               1,036",                -259
8479501000,2023.03,                   5.4,                 291,                   4.7,                 534,                -243
8479502000,2023.03,                   1.1,                 175,                   0.0,                   0,                 175
8479509000,2023.03,                 421.1,"              14,361",                 579.7,"              16,543","              -2,182"
8479892010,2023.03,                 663.7,"              21,848",                  72.2,"               9,801","              12,048"
8479892090,2023.03,                  31.1,                 263,                   5.1,                  71,                 192
8508111000,2023.03,                  19.2,                 980,                 227.1,"               8,101","              -7,121"
8508192000,2023.03,                   0.0,                   0,                   7.1,                 162,                -162
8515211010,2023.03,                   4.9,                 286,                  33.2,                 686,                -400
8515219010,2023.03,                   2.5,                 131,                  11.9,"               1,393","              -1,263"
8515311010,2023.03,                   2.4,                 167,                  24.1,"               1,165",                -998
8515319010,2023.03,                  14.8,                 464,                   3.5,                 112,                 353
8424202010,2023.04,                   2.7,                 334,                   4.3,                 145,                 189
8427103000,2023.04,                  77.3,"               5,518",                   9.9,                 661,"               4,858"
8428701000,2023.04,                   0.7,                  34,                   9.0,                 476,                -442
8428702000,2023.04,                   9.5,                 919,                  14.3,                 976,                 -57
8428709000,2023.04,                  10.7,                 356,                  80.7,"               3,308","              -2,953"
8479501000,2023.04,                  73.9,                 279,                   2.7,                 749,                -470
8479502000,2023.04,                   0.1,                   4,                   0.0,                   0,                   4
8479509000,2023.04,                 303.1,"               9,857",                 581.6,"              15,107","              -5,250"
8479892010,2023.04,                 428.9,"              14,046",                 131.2,"              10,215","               3,830"
8479892090,2023.04,                   3.6,                 129,                   1.0,                  25,                 104
8508111000,2023.04,                   9.5,                 447,                 503.0,"              15,790","             -15,343"
8508192000,2023.04,                   0.0,                   0,                  10.8,                 257,                -257
8515211010,2023.04,                  18.0,"               1,058",                   3.7,                 168,                 891
8515219010,2023.04,                   1.7,                  98,                  56.7,"               6,879","              -6,781"
8515311010,2023.04,                   0.0,                   0,                  21.5,                 959,                -959
8515319010,2023.04,                   0.0,                   0,                   1.0,                  68,                 -68
8424202010,2023.05,                  17.9,"               2,388",                   0.0,                   0,"               2,388"
8427103000,2023.05,                  20.9,"               1,448",                   0.1,                  54,"               1,395"
8428701000,2023.05,                   0.0,                   0,                  14.5,                 197,                -197
8428702000,2023.05,                   7.8,                 289,                  40.4,"               2,046","              -1,756"
8428709000,2023.05,                  10.1,                 368,                  65.0,"               2,648","              -2,280"
8479501000,2023.05,                  17.1,                  47,                   2.4,                 453,                -406
8479502000,2023.05,                   2.8,                 140,                   0.0,                   0,                 140
8479509000,2023.05,                 387.5,"              13,917",                 789.4,"              21,421","              -7,504"
8479892010,2023.05,                 458.8,"              15,286",                  84.4,"               4,910","              10,376"
8479892090,2023.05,                  30.5,                  90,                  11.0,                 123,                 -33
8508111000,2023.05,                   3.1,                 145,                 499.4,"              15,965","             -15,820"
8508192000,2023.05,                   0.0,                   3,                   6.0,                 168,                -166
8515211010,2023.05,                   7.0,                 335,                 219.4,"               3,786","              -3,450"
8515212010,2023.05,                   0.0,                   0,                   0.1,                   3,                  -3
8515219010,2023.05,                   0.0,                   0,                  75.9,"               9,004","              -9,004"
8515311010,2023.05,                   6.2,                 427,                   4.3,                 236,                 191
8515319010,2023.05,                   0.3,                  25,                   4.4,                 393,                -368
8424202010,2023.06,                   3.9,"               1,063",                  23.8,"               2,876","              -1,813"
8427103000,2023.06,                  30.9,"               1,420",                  24.1,                 554,                 866
8428701000,2023.06,                   4.0,                 397,                  30.2,                 533,                -136
8428702000,2023.06,                  28.7,"               2,037",                   0.2,                  24,"               2,013"
8428709000,2023.06,                   7.4,                 342,                  30.5,"               1,604","              -1,262"
8479501000,2023.06,                 104.3,"               1,017",                   6.4,                 900,                 117
8479502000,2023.06,                   3.3,                 397,                   0.0,                   0,                 397
8479509000,2023.06,                 296.2,"              12,062",                 795.4,"              18,698","              -6,636"
8479892010,2023.06,                 252.1,"               7,950",                  72.7,"               3,582","               4,369"
